artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10,title_spotify,artist_spotify,id_spotify,match_score,image,tags
Rocco Granata,Marina,334,1,1,1959,1960,22,Marina,Rocco Granata,3pFT1UfjSdKwjIS0tWg7ka,1.0,https://i.scdn.co/image/ab67616d0000b273ca6ba6d90b7ef36f2d8f717b,"['oldies', 'italian', 'Schlager', '60s', 'marina']"
Will Brandes,Marina,334,2,1,1959,1960,22,Marina,Will Brandes,7DhuyBx6lhsKs0N5FqFz5g,1.0,https://i.scdn.co/image/ab67616d0000b2738be0b2fd0f31cf5612b98372,['German Number 1']
Jan & Kjeld,Banjo Boy,329,3,1,1960,1960,30,Banjo Boy,Jan & Kjeld,5UAOItSabo5r4pZiMr43wK,1.0,https://i.scdn.co/image/ab67616d0000b2736bc55bed899fb4293ebcd246,"['Deutsche Oldies', 'Schlager', '60er Schlager', 'oldies', '50s']"
Heidi Brühl,Wir wollen niemals auseinandergeh'n,329,4,1,1960,1960,27,Wir wollen niemals auseinandergehen,Heidi Brühl,2k0ucOcFHNCWRUeorRn1Qc,0.9713963747024535,https://i.scdn.co/image/ab67616d0000b273ac751ef043c5000bfc04d45c,"['germany', 'Eurovision Song Contest', 'Eurovision', 'ESC', 'Deutsche Oldies']"
Freddy (Freddy Quinn),Unter fremden Sternen (fährt ein weißes Schiff nach Hongkong),238,5,2,1959,1960,22,Unter fremden Sternen,Freddy Quinn,3cDFCSfAj7phADcWcUrtew,0.9289135336875916,https://i.scdn.co/image/ab67616d0000b2737bc9d38fa4032e78dc6c5ad5,
Edith Piaf,Milord,232,6,1,1960,1960,21,Milord,Édith Piaf,18efeGygYyi4nx3haDMdAa,1.0,https://i.scdn.co/image/ab67616d0000b273956e46e66798e6d0d92e5985,"['french', 'chanson', 'edith piaf', '50s', 'chanson francaise']"
Dalida,Milord,232,7,1,1960,1960,21,Milord,Dalida,0NYVXYK6WbRazJbpRqyhw0,1.0000000357627867,https://i.scdn.co/image/ab67616d0000b273202dacef577f9f797f11aac6,"['Dalida', 'frans']"
Lolita,Seemann... (Deine Heimat ist das Meer),206,8,2,1960,1960,22,Seemann (Deine Heimat ist das Meer),Lolita,1XYyavorGNoH7GTF6eFA9q,1.0,https://i.scdn.co/image/ab67616d0000b273263ddb554a93af8c16524346,[]
Dutch Swing College Band,Milord,180,9,1,1960,1960,13,Milord,Dutch Swing College Band,59wXerASd7ZhpwcQaW36IV,1.0,https://i.scdn.co/image/ab67616d0000b27332a774f70053f4c9ce269509,['dutch swing']
Ted Herold,Moonlight,161,10,1,1960,1960,22,Moonlight,Ted Herold,2AC6dz3qZ8U5H9PklHZdia,1.0000001192092896,https://i.scdn.co/image/ab67616d0000b27305f04a18cc8e2b6166719faa,"['Deutsche Oldies', 'Schlager', 'oldies', 'moonligth', '60s']"
